type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2024-07-01T01:18,2024-07-01T09:47:30,509,32.30844793713163,214.20749279539086,937.3607268559281,0.7269887005142621,1.3527538016458973
IDT,2024-07-02T01:13:30,2024-07-02T08:09:30,412,32.411650485436894,188.69521410579364,806.4661257924745,0.7317219191500538,1.358889468084718
IDT,2024-07-03T01:19:30,2024-07-03T08:32:30,425,31.838823529411766,-48.80226700251842,1032.0333206225187,0.7318278371014626,1.3745344841195457
IDT,2024-07-03T23:58,2024-07-04T08:27:30,509,31.49607072691552,-174.46117647058782,877.6891986158444,0.7257449700924011,1.386776796388557
IDT,2024-07-05T01:56:30,2024-07-05T08:14:30,377,31.676392572944295,-61.236470588235534,465.7865923875943,0.685845404729917,1.3675161250931716
IDT,2024-07-06T01:56,2024-07-06T08:55,418,30.712440191387557,-470.8282352941187,1823.4283903114265,0.6812919626984789,1.4000847364830564
IDT,2024-07-07T02:55,2024-07-07T09:03:30,356,32.1185393258427,58.69974811083193,390.9964618771337,0.6748132638577289,1.3997992312491685
IDT,2024-07-08T00:39,2024-07-08T07:02:30,374,31.200267379679147,-238.82000000000153,304.84995294117834,0.6882827861847503,1.4089085108655286
IDT,2024-07-09T00:11,2024-07-09T07:04:30,404,32.60148514851485,261.7244332493701,665.3527697022073,0.6828981748307766,1.411325447918058
IDT,2024-07-10T00:04,2024-07-10T08:46:30,518,32.13050193050193,84.22716049382507,570.4334644109476,0.6810923721206794,1.4038811979849728
IDT,2024-07-11T01:04,2024-07-11T06:50:30,340,32.97352941176471,313.4171428571444,401.95442775508855,0.6927751783980866,1.4087966387311877
IDT,2024-07-11T23:59,2024-07-12T07:26:30,438,31.900228310502282,-66.35085714285742,680.8012014694978,0.6744093464903234,1.4131604689392003
IDT,2024-07-13T00:54:30,2024-07-13T08:55:30,473,31.68879492600423,-132.01728395061764,714.4574698979268,0.6778705751757622,1.4224113549883817
IDT,2024-07-14T01:29,2024-07-14T09:09:30,458,31.572052401746724,-181.29876543209866,892.8091754306806,0.6568869539729435,1.431585965191443
IDT,2024-07-15T01:49:30,2024-07-15T08:33:30,394,31.721573604060914,-91.43904282115909,471.8876866803039,0.6597430611027602,1.4341985545263285
IDT,2024-07-16T01:52,2024-07-16T07:30:30,334,32.627245508982035,224.98010075566708,248.30711298214737,0.6644742035053588,1.4122431629254149
IDT,2024-07-17T01:32:30,2024-07-17T07:45:30,373,31.069973190348527,-309.6851598173507,592.4813893059036,0.6893474430164451,1.3931574671702507
IDT,2024-07-18T00:11:30,2024-07-18T07:12:30,419,32.70429594272076,336.90433789954477,718.7261405620957,0.6892145183439223,1.3961337181966187
IDT,2024-07-19T01:36,2024-07-19T08:30:30,408,31.0875,-306.53999999999905,576.3769647059962,0.7077032533118621,1.3988403891582717
IDT,2024-07-20T02:11:30,2024-07-20T09:45:30,434,33.241013824884796,595.2257507386512,1035.1548717566766,0.7321690457472485,1.3997515473398503
IDT,2024-07-21T02:45,2024-07-21T10:09:30,436,32.159403669724774,126.38669889873745,1149.5481368316105,0.7201759335627043,1.4035930355648567
IDT,2024-07-22T01:53,2024-07-22T08:46:30,401,31.551122194513717,-91.8596252612715,209.12486472108867,0.6582069051595789,1.3569726727534082
IDT,2024-07-23T01:04:30,2024-07-23T07:16:30,361,32.3,187.64831740818045,227.37986433831975,0.6375721186255434,1.297529830544076
IDT,2024-07-24T00:40,2024-07-24T08:14:30,449,31.032739420935414,-301.92773499962277,603.1384792026365,0.6362952969601507,1.2654570148328348
IDT,2024-07-25T00:01,2024-07-25T06:59:30,415,31.880481927710843,41.61759480442015,433.4654558971524,0.6343104974945082,1.2640555384883487
IDT,2024-07-26T01:13:30,2024-07-26T09:30:30,496,30.9945564516129,-389.67848910122484,690.3831348149106,0.6418024482040949,1.2619911557380292
IDT,2024-07-27T03:17,2024-07-27T10:56:30,452,31.43163716814159,-157.5497521648249,875.1933504582848,0.6377812317276189,1.2730201834917703
IDT,2024-07-28T03:02:30,2024-07-28T10:56:30,468,31.886324786324785,49.66707076739294,392.10345709114335,0.6206019037291034,1.2543828385510254
IDT,2024-07-29T02:01,2024-07-29T07:49:30,341,31.941642228739003,27.958419560594848,226.50097719754558,0.6197368634535632,1.2469538714198165
IDT,2024-07-30T00:54,2024-07-30T08:01:30,426,31.87206572769953,-1.7926506024086848,243.82512581266928,0.6135343211141767,1.235208293692347
IDT,2024-07-31T00:34:30,2024-07-31T08:19:30,465,31.276344086021506,-269.2817522783753,253.18099378515035,0.6170873907177119,1.213782326997298
IDT,2024-08-01T01:15:30,2024-08-01T07:58:30,394,32.362690355329946,199.85481634907592,542.8370497917058,0.6155770759246657,1.2060215681552189